id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,321944.0,699.556515625,460.21156662713344
0,left root,root-L,-1.0,0.0,1254659.0,250.9855625,4998.928972259112
1,left Basic cell groups and regions,grey-L,0.0,1.0,1158305.0,224.5929375,5157.352732874781
2,left Cerebrum,CH-L,1.0,2.0,994744.0,137.89371875,7213.845627032957
3,left Cerebral cortex,CTX-L,2.0,3.0,842964.0,110.753453125,7611.1757802134
4,left Cortical plate,CTXpl-L,3.0,4.0,809525.0,106.300359375,7615.449324533387
5,left Isocortex,Isocortex-L,4.0,5.0,401663.0,61.627640625,6517.578734582621
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,2726.0,0.4861875,5606.890345802803
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,722.0,0.12675,5696.252465483235
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,1055.0,0.11703125,9014.686248331107
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,761.0,0.185796875,4095.870826675637
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,187.0,0.05609375,3333.7047353760445
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,1.0,0.000515625,1939.3939393939393
12,left Somatomotor areas,MO-L,5.0,6.0,61810.0,12.231046875,5053.533081157454
18,left Primary motor area,MOp-L,12.0,7.0,32395.0,5.676734375,5706.626003616737
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,3509.0,0.664609375,5279.79311155519
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,11801.0,1.8444375,6398.156619565586
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,5893.0,1.636203125,3601.631062769178
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,10611.0,1.437953125,7379.239152875724
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,581.0,0.09353125,6211.827597728033
24,left Secondary motor area,MOs-L,12.0,7.0,29415.0,6.5543125,4487.884884951702
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,7349.0,1.1643125,6311.879327929571
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,10652.0,1.901640625,5601.4789860728815
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,7098.0,2.26159375,3138.494700916113
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,4177.0,1.189171875,3512.528413943527
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,139.0,0.03759375,3697.4231088944302
30,left Somatosensory areas,SS-L,5.0,6.0,91231.0,16.666171875,5474.022510043267
37,left Primary somatosensory area,SSp-L,30.0,7.0,57103.0,12.1535,4698.481918788826
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,5963.0,1.509703125,3949.7831734302067
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,752.0,0.2028125,3707.8582434514637
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,1647.0,0.3201875,5143.861018934218
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,919.0,0.274109375,3352.6762811377757
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,361.0,0.283515625,1273.2984293193717
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,2183.0,0.402328125,5425.919453182648
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,101.0,0.02675,3775.7009345794395
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,9319.0,3.145734375,2962.42431467215
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,1714.0,0.419375,4087.034277198212
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,3294.0,0.75821875,4344.392696698676
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,1294.0,0.641265625,2017.8845544699204
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,782.0,0.603984375,1294.7354805329194
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,2035.0,0.648828125,3136.4238410596026
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,200.0,0.0740625,2700.42194092827
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,2489.0,1.176484375,2115.625207517099
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,1149.0,0.149265625,7697.686590599811
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,694.0,0.32325,2146.945088940449
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,134.0,0.1366875,980.3383630544125
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65.0,9.0,192.0,0.278,690.6474820143884
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65.0,9.0,283.0,0.263890625,1072.4139972763337
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65.0,9.0,37.0,0.025390625,1457.2307692307693
72,"left Primary somatosensory area, mouth",SSp-m-L,37.0,8.0,27035.0,3.105328125,8706.004297049929
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72.0,9.0,2013.0,0.3904375,5155.754762285897
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72.0,9.0,9306.0,0.7490625,12423.529411764706
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72.0,9.0,4921.0,0.4736875,10388.705633988653
