id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,215660.0,699.556515625,308.28102545413986
0,left root,root-L,-1.0,0.0,530879.0,250.9855625,2115.1774417303386
1,left Basic cell groups and regions,grey-L,0.0,1.0,464092.0,224.5929375,2066.3695179640276
2,left Cerebrum,CH-L,1.0,2.0,310280.0,137.89371875,2250.1387504280356
3,left Cerebral cortex,CTX-L,2.0,3.0,274707.0,110.753453125,2480.3470433554485
4,left Cortical plate,CTXpl-L,3.0,4.0,260503.0,106.300359375,2450.6314139636465
5,left Isocortex,Isocortex-L,4.0,5.0,120139.0,61.627640625,1949.4337083426192
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,367.0,0.4861875,754.8528088443245
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,279.0,0.12675,2201.183431952663
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,46.0,0.11703125,393.0574098798398
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,40.0,0.185796875,215.28887393827264
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,2.0,0.05609375,35.65459610027855
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,0.0,0.000515625,0.0
12,left Somatomotor areas,MO-L,5.0,6.0,12287.0,12.231046875,1004.5746799576385
18,left Primary motor area,MOp-L,12.0,7.0,7072.0,5.676734375,1245.786667620854
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,896.0,0.664609375,1348.160338544728
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,2686.0,1.8444375,1456.2705431872862
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,2405.0,1.636203125,1469.8664018258735
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,1055.0,1.437953125,733.6817742233427
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,30.0,0.09353125,320.7484129635817
24,left Secondary motor area,MOs-L,12.0,7.0,5215.0,6.5543125,795.6593464226797
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,1293.0,1.1643125,1110.526598314456
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,2873.0,1.901640625,1510.8007066266794
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,879.0,2.26159375,388.66396761133603
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,166.0,1.189171875,139.59294151654908
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,4.0,0.03759375,106.40066500415627
30,left Somatosensory areas,SS-L,5.0,6.0,38861.0,16.666171875,2331.729223211314
37,left Primary somatosensory area,SSp-L,30.0,7.0,36253.0,12.1535,2982.926728925824
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,2604.0,1.509703125,1724.842425559661
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,87.0,0.2028125,428.96764252696454
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,254.0,0.3201875,793.2851844622292
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,194.0,0.274109375,707.7466795872998
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,529.0,0.283515625,1865.8583631854506
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,1478.0,0.402328125,3673.618392947299
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,62.0,0.02675,2317.7570093457944
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,14889.0,3.145734375,4733.076040471472
