id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,267615.0,699.556515625,382.5495067555858
0,left root,root-L,-1.0,0.0,1407032.0,250.9855625,5606.027637545885
1,left Basic cell groups and regions,grey-L,0.0,1.0,1295971.0,224.5929375,5770.310564640974
2,left Cerebrum,CH-L,1.0,2.0,1079868.0,137.89371875,7831.161635127053
3,left Cerebral cortex,CTX-L,2.0,3.0,978937.0,110.753453125,8838.884679244624
4,left Cortical plate,CTXpl-L,3.0,4.0,952054.0,106.300359375,8956.263229942631
5,left Isocortex,Isocortex-L,4.0,5.0,476147.0,61.627640625,7726.192260017257
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,2113.0,0.4861875,4346.0599048720915
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,811.0,0.12675,6398.422090729783
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,509.0,0.11703125,4349.265687583445
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,558.0,0.185796875,3003.2797914389034
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,233.0,0.05609375,4153.760445682451
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,2.0,0.000515625,3878.7878787878785
12,left Somatomotor areas,MO-L,5.0,6.0,82537.0,12.231046875,6748.154989799268
18,left Primary motor area,MOp-L,12.0,7.0,42436.0,5.676734375,7475.424636193235
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,3347.0,0.664609375,5036.040907487952
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,14934.0,1.8444375,8096.777472806751
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,14306.0,1.636203125,8743.41319938501
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,9194.0,1.437953125,6393.810646643993
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,655.0,0.09353125,7003.007016371534
24,left Secondary motor area,MOs-L,12.0,7.0,40101.0,6.5543125,6118.2618314277815
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,7102.0,1.1643125,6099.736969241505
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,13004.0,1.901640625,6838.305739287622
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,14305.0,2.26159375,6325.185502480275
