id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,464965.0,699.556515625,664.6568070123534
0,left root,root-L,-1.0,0.0,1162833.0,250.9855625,4633.067290474129
1,left Basic cell groups and regions,grey-L,0.0,1.0,1024607.0,224.5929375,4562.062420150678
2,left Cerebrum,CH-L,1.0,2.0,700648.0,137.89371875,5081.072628625442
3,left Cerebral cortex,CTX-L,2.0,3.0,612593.0,110.753453125,5531.141311762148
4,left Cortical plate,CTXpl-L,3.0,4.0,597112.0,106.300359375,5617.215252241474
5,left Isocortex,Isocortex-L,4.0,5.0,336664.0,61.627640625,5462.873421498927
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,2114.0,0.4861875,4348.116724514719
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,509.0,0.12675,4015.7790927021697
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,628.0,0.11703125,5366.088117489987
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,749.0,0.185796875,4031.2841644941554
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,225.0,0.05609375,4011.142061281337
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,3.0,0.000515625,5818.181818181818
12,left Somatomotor areas,MO-L,5.0,6.0,54690.0,12.231046875,4471.407930893078
18,left Primary motor area,MOp-L,12.0,7.0,32192.0,5.676734375,5670.866007360086
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,5327.0,0.664609375,8015.234512754203
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,8850.0,1.8444375,4798.210836637186
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,9858.0,1.636203125,6024.924319833456
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,7758.0,1.437953125,5395.168914146628
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,399.0,0.09353125,4265.953892415637
24,left Secondary motor area,MOs-L,12.0,7.0,22498.0,6.5543125,3432.5491804060302
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,5364.0,1.1643125,4607.010574910086
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,5522.0,1.901640625,2903.808389137669
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,6675.0,2.26159375,2951.458457116801
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,4815.0,1.189171875,4049.0362253143603
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,122.0,0.03759375,3245.220282626766
30,left Somatosensory areas,SS-L,5.0,6.0,134021.0,16.666171875,8041.498731993606
37,left Primary somatosensory area,SSp-L,30.0,7.0,97879.0,12.1535,8053.564816719464
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,13240.0,1.509703125,8769.93614224651
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,1476.0,0.2028125,7277.657935285054
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,2422.0,0.3201875,7564.317782549288
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,3979.0,0.274109375,14516.103289061164
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,1461.0,0.283515625,5153.155139156793
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,3692.0,0.402328125,9176.589382111928
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,210.0,0.02675,7850.467289719626
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,23771.0,3.145734375,7556.582077913047
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,3012.0,0.419375,7182.116244411326
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,4201.0,0.75821875,5540.617400980917
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,8716.0,0.641265625,13591.871543091056
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,3137.0,0.603984375,5193.842969861596
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,4308.0,0.648828125,6639.662853702589
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,397.0,0.0740625,5360.337552742616
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,2128.0,1.176484375,1808.778803373398
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,949.0,0.149265625,6357.793363341359
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,357.0,0.32325,1104.4083526682134
