name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,1254659.0,900299.0,2154958.0,250.9855625,253.297921875,504.28348437499994,4998.928972259112,3554.308670737096,4273.306714914165
Basic cell groups and regions,grey,1158305.0,802574.0,1960879.0,224.5929375,225.007921875,449.600859375,5157.352732874781,3566.8699720086247,4361.377339727199
Cerebrum,CH,994744.0,650940.0,1645684.0,137.89371875,137.983015625,275.876734375,7213.845627032957,4717.5371334764595,5965.287372740237
Cerebral cortex,CTX,842964.0,544184.0,1387148.0,110.753453125,110.7961875,221.549640625,7611.1757802134,4911.576943926883,6261.116001302474
Cortical plate,CTXpl,809525.0,526491.0,1336016.0,106.300359375,106.3434375,212.643796875,7615.449324533387,4950.855571130095,6282.882546465065
Isocortex,Isocortex,401663.0,243428.0,645091.0,61.627640625,61.67009375,123.297734375,6517.578734582621,3947.261714678357,5231.9777266791325
"Frontal pole, cerebral cortex",FRP,2726.0,1805.0,4531.0,0.4861875,0.486109375,0.9722968750000001,5606.890345802803,3713.156118414709,4660.09931380269
"Frontal pole, layer 1",FRP1,722.0,739.0,1461.0,0.12675,0.126671875,0.253421875,5696.252465483235,5833.970642654496,5765.090326160675
"Frontal pole, layer 2/3",FRP2/3,1055.0,642.0,1697.0,0.11703125,0.117,0.23403125000000002,9014.686248331109,5487.179487179487,7251.168380291093
"Frontal pole, layer 5",FRP5,761.0,416.0,1177.0,0.185796875,0.18575,0.371546875,4095.870826675637,2239.56931359354,3167.8371672484127
"Frontal pole, layer 6a",FRP6a,187.0,8.0,195.0,0.05609375,0.05615625,0.11224999999999999,3333.7047353760445,142.4596549805231,1737.193763919822
"Frontal pole, layer 6b",FRP6b,1.0,0.0,1.0,0.000515625,0.00053125,0.001046875,1939.3939393939393,0.0,955.2238805970148
Somatomotor areas,MO,61810.0,29374.0,91184.0,12.231046875,12.226390625,24.4574375,5053.533081157454,2402.5078946796693,3728.272841339163
Primary motor area,MOp,32395.0,10531.0,42926.0,5.676734375,5.676359375,11.35309375,5706.626003616737,1855.2384203123152,3780.995818870958
"Primary motor area, Layer 1",MOp1,3509.0,2263.0,5772.0,0.664609375,0.665328125,1.3299375,5279.79311155519,3401.3292313473144,4340.053573946144
"Primary motor area, Layer 2/3",MOp2/3,11801.0,2979.0,14780.0,1.8444375,1.844640625,3.689078125,6398.156619565586,1614.9487112157683,4006.420980851415
"Primary motor area, Layer 5",MOp5,5893.0,948.0,6841.0,1.636203125,1.6365625,3.272765625,3601.631062769178,579.2629367958755,2090.281060074383
"Primary motor area, Layer 6a",MOp6a,10611.0,4032.0,14643.0,1.437953125,1.438171875,2.876125,7379.239152875724,2803.5592060232716,5091.225172758485
"Primary motor area, Layer 6b",MOp6b,581.0,309.0,890.0,0.09353125,0.09165625,0.1851875,6211.827597728033,3371.2921922945793,4805.939925750928
