name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,530879.0,570855.0,1101734.0,250.9855625,253.297921875,504.28348437499994,2115.1774417303386,2253.690025462235,2184.7513038533666
Basic cell groups and regions,grey,464092.0,494413.0,958505.0,224.5929375,225.007921875,449.600859375,2066.3695179640276,2197.3137473562565,2131.9020638270995
Cerebrum,CH,310280.0,346599.0,656879.0,137.89371875,137.983015625,275.876734375,2250.1387504280356,2511.8961085903575,2381.0597928388647
Cerebral cortex,CTX,274707.0,304123.0,578830.0,110.753453125,110.7961875,221.549640625,2480.3470433554485,2744.886867158674,2612.642468600258
Cortical plate,CTXpl,260503.0,289350.0,549853.0,106.300359375,106.3434375,212.643796875,2450.6314139636465,2720.9013250112403,2585.7937455999445
Isocortex,Isocortex,120139.0,115106.0,235245.0,61.627640625,61.67009375,123.297734375,1949.4337083426192,1866.4800554158392,1907.9426008309408
"Frontal pole, cerebral cortex",FRP,367.0,258.0,625.0,0.4861875,0.486109375,0.9722968750000001,754.8528088443245,530.744752659831,642.807784402269
"Frontal pole, layer 1",FRP1,279.0,163.0,442.0,0.12675,0.126671875,0.253421875,2201.183431952663,1286.7891945232516,1744.1272581540168
"Frontal pole, layer 2/3",FRP2/3,46.0,33.0,79.0,0.11703125,0.117,0.23403125000000002,393.0574098798398,282.05128205128204,337.56175724395774
"Frontal pole, layer 5",FRP5,40.0,58.0,98.0,0.185796875,0.18575,0.371546875,215.28887393827264,312.24764468371467,263.7621430674124
"Frontal pole, layer 6a",FRP6a,2.0,4.0,6.0,0.05609375,0.05615625,0.11224999999999999,35.65459610027855,71.22982749026156,53.4521158129176
"Frontal pole, layer 6b",FRP6b,0.0,0.0,0.0,0.000515625,0.00053125,0.001046875,0.0,0.0,0.0
Somatomotor areas,MO,12287.0,13276.0,25563.0,12.231046875,12.226390625,24.4574375,1004.5746799576384,1085.8478521742798,1045.2035296011693
Primary motor area,MOp,7072.0,4389.0,11461.0,5.676734375,5.676359375,11.35309375,1245.786667620854,773.2068584892936,1009.5045678628348
"Primary motor area, Layer 1",MOp1,896.0,1252.0,2148.0,0.664609375,0.665328125,1.3299375,1348.160338544728,1881.778257908457,1615.1134921753842
"Primary motor area, Layer 2/3",MOp2/3,2686.0,1887.0,4573.0,1.8444375,1.844640625,3.689078125,1456.2705431872862,1022.9634837409048,1239.605084264785
"Primary motor area, Layer 5",MOp5,2405.0,918.0,3323.0,1.636203125,1.6365625,3.272765625,1469.8664018258737,560.9318312010694,1015.3492124875273
"Primary motor area, Layer 6a",MOp6a,1055.0,309.0,1364.0,1.437953125,1.438171875,2.876125,733.6817742233427,214.8560998663668,474.24920683210917
"Primary motor area, Layer 6b",MOp6b,30.0,23.0,53.0,0.09353125,0.09165625,0.1851875,320.7484129635817,250.93760654619845,286.1964225447182
