name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,1679909.0,2387965.0,4067874.0,250.9855625,253.297921875,504.28348437499994,6693.249537012712,9427.495426426898,8066.6413357590945
Basic cell groups and regions,grey,1537783.0,2171191.0,3708974.0,224.5929375,225.007921875,449.600859375,6846.978436265388,9649.398038555171,8249.481562726383
Cerebrum,CH,1179473.0,1667151.0,2846624.0,137.89371875,137.983015625,275.876734375,8553.49330405958,12082.291378026255,10318.463448717557
Cerebral cortex,CTX,1003279.0,1475956.0,2479235.0,110.753453125,110.7961875,221.549640625,9058.670151509104,13321.360899715071,11190.426637596809
Cortical plate,CTXpl,970027.0,1439214.0,2409241.0,106.300359375,106.3434375,212.643796875,9125.340739234918,13533.641885518324,11329.93783691815
Isocortex,Isocortex,556390.0,859272.0,1415662.0,61.627640625,61.67009375,123.297734375,9028.254113857698,13933.366203128238,11481.654607653856
"Frontal pole, cerebral cortex",FRP,2228.0,5138.0,7366.0,0.4861875,0.486109375,0.9722968750000001,4582.594163774264,10569.637748706244,7575.875423851382
"Frontal pole, layer 1",FRP1,682.0,1243.0,1925.0,0.12675,0.126671875,0.253421875,5380.670611439842,9812.754409769335,7596.029348295208
"Frontal pole, layer 2/3",FRP2/3,464.0,1722.0,2186.0,0.11703125,0.117,0.23403125000000002,3964.75300400534,14717.948717948717,9340.632928294832
"Frontal pole, layer 5",FRP5,876.0,1848.0,2724.0,0.185796875,0.18575,0.371546875,4714.826339248171,9948.85598923284,7331.51099709828
"Frontal pole, layer 6a",FRP6a,205.0,324.0,529.0,0.05609375,0.05615625,0.11224999999999999,3654.596100278552,5769.616026711185,4712.694877505568
"Frontal pole, layer 6b",FRP6b,1.0,1.0,2.0,0.000515625,0.00053125,0.001046875,1939.3939393939393,1882.3529411764705,1910.4477611940297
Somatomotor areas,MO,62967.0,110361.0,173328.0,12.231046875,12.226390625,24.4574375,5148.128418075415,9026.45787991908,7086.923967402554
Primary motor area,MOp,28449.0,53687.0,82136.0,5.676734375,5.676359375,11.35309375,5011.508046824897,9457.998772320509,7234.6799743462
"Primary motor area, Layer 1",MOp1,3324.0,6162.0,9486.0,0.664609375,0.665328125,1.3299375,5001.434113083344,9261.595547309833,7132.666008741012
"Primary motor area, Layer 2/3",MOp2/3,6362.0,13351.0,19713.0,1.8444375,1.844640625,3.689078125,3449.290095218732,7237.724150198633,5343.611420536126
"Primary motor area, Layer 5",MOp5,10661.0,19333.0,29994.0,1.636203125,1.6365625,3.272765625,6515.694681856814,11813.175482146267,9164.725934201293
"Primary motor area, Layer 6a",MOp6a,7591.0,14017.0,21608.0,1.437953125,1.438171875,2.876125,5279.031609601321,9746.401138598265,7512.886261897518
"Primary motor area, Layer 6b",MOp6b,511.0,824.0,1335.0,0.09353125,0.09165625,0.1851875,5463.414634146342,8990.112512785545,7208.909888626392
Secondary motor area,MOs,34518.0,56674.0,91192.0,6.5543125,6.55003125,13.10434375,5266.456245410941,8652.477803063917,6958.913909748438
"Secondary motor area, layer 1",MOs1,7208.0,13397.0,20605.0,1.1643125,1.159859375,2.324171875,6190.777819528691,11550.538184855384,8865.523338285813
"Secondary motor area, layer 2/3",MOs2/3,6134.0,12224.0,18358.0,1.901640625,1.902859375,3.8045,3225.6357585966066,6424.016488344022,4825.338415034827
"Secondary motor area, layer 5",MOs5,14552.0,22136.0,36688.0,2.26159375,2.261203125,4.522796875,6434.400519545122,9789.47877581763,8111.79476195247
"Secondary motor area, layer 6a",MOs6a,6348.0,8609.0,14957.0,1.189171875,1.188921875,2.3780937499999997,5338.168631006346,7241.014048967684,6289.491320516696
"Secondary motor area, layer 6b",MOs6b,276.0,308.0,584.0,0.03759375,0.0371875,0.07478125,7341.645885286783,8282.35294117647,7809.4442122858345
Somatosensory areas,SS,173830.0,272174.0,446004.0,16.666171875,16.666015625,33.3321875,10430.109643880052,16331.077932731749,13380.579957436035
Primary somatosensory area,SSp,123107.0,188204.0,311311.0,12.1535,12.1554375,24.3089375,10129.34545604147,15483.111981777703,12806.442075059842
"Primary somatosensory area, nose",SSp-n,12060.0,18775.0,30835.0,1.509703125,1.5095625,3.019265625,7988.325519297047,12437.378379497371,10212.748340086839
"Primary somatosensory area, nose, layer 1",SSp-n1,648.0,2151.0,2799.0,0.2028125,0.202515625,0.40532812500000004,3195.0693374422185,10621.402669547102,6905.516364056898
"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,1928.0,2956.0,4884.0,0.3201875,0.32015625,0.64034375,6021.471793870778,9232.991703269889,7627.153384412669
"Primary somatosensory area, nose, layer 4",SSp-n4,2381.0,4389.0,6770.0,0.274109375,0.273953125,0.5480625,8686.31362936784,16020.98899218616,12352.605770327289
"Primary somatosensory area, nose, layer 5",SSp-n5,2247.0,2782.0,5029.0,0.283515625,0.283515625,0.56703125,7925.489115458804,9812.510333425187,8868.999724441996
"Primary somatosensory area, nose, layer 6a",SSp-n6a,4648.0,6225.0,10873.0,0.402328125,0.402546875,0.804875,11552.759330459436,15464.037573263982,13508.929958068024
"Primary somatosensory area, nose, layer 6b",SSp-n6b,208.0,272.0,480.0,0.02675,0.026875,0.053625,7775.70093457944,10120.93023255814,8951.048951048951
"Primary somatosensory area, barrel field",SSp-bfd,48383.0,57138.0,105521.0,3.145734375,3.144515625,6.29025,15380.51031406617,18170.684077933307,16775.326894797505
