name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,1755390.0,1112920.0,2868310.0,250.9855625,253.297921875,504.28348437499994,6993.98795100017,4393.719426364718,5687.892006923314
Basic cell groups and regions,grey,1520487.0,933613.0,2454100.0,224.5929375,225.007921875,449.600859375,6769.968000440797,4149.245023109256,5458.397040013442
Cerebrum,CH,1068887.0,570899.0,1639786.0,137.89371875,137.983015625,275.876734375,7751.527841075067,4137.458493815984,5943.9082592990035
Cerebral cortex,CTX,920438.0,480814.0,1401252.0,110.753453125,110.7961875,221.549640625,8310.693473016714,4339.625855808441,6324.776677800129
Cortical plate,CTXpl,890096.0,470283.0,1360379.0,106.300359375,106.3434375,212.643796875,8373.405369778413,4422.303915086439,6397.454428448162
Isocortex,Isocortex,495630.0,245070.0,740700.0,61.627640625,61.67009375,123.297734375,8042.332871639122,3973.887262008581,6007.40965561639
"Frontal pole, cerebral cortex",FRP,3343.0,3253.0,6596.0,0.4861875,0.486109375,0.9722968750000001,6875.948065304024,6691.909613962907,6783.936233467787
"Frontal pole, layer 1",FRP1,927.0,1631.0,2558.0,0.12675,0.126671875,0.253421875,7313.609467455622,12875.786357468854,10093.840557370984
"Frontal pole, layer 2/3",FRP2/3,870.0,451.0,1321.0,0.11703125,0.117,0.23403125000000002,7433.911882510013,3854.7008547008545,5644.5453331552935
"Frontal pole, layer 5",FRP5,1221.0,812.0,2033.0,0.185796875,0.18575,0.371546875,6571.6928769657725,4371.467025572006,5471.718743429076
"Frontal pole, layer 6a",FRP6a,323.0,359.0,682.0,0.05609375,0.05615625,0.11224999999999999,5758.217270194987,6392.877017250974,6075.723830734967
"Frontal pole, layer 6b",FRP6b,2.0,0.0,2.0,0.000515625,0.00053125,0.001046875,3878.7878787878785,0.0,1910.4477611940297
Somatomotor areas,MO,88162.0,41691.0,129853.0,12.231046875,12.226390625,24.4574375,7208.050210338189,3409.918861479203,5309.346083374433
Primary motor area,MOp,44502.0,13679.0,58181.0,5.676734375,5.676359375,11.35309375,7839.366272972743,2409.819233828902,5124.682424118977
"Primary motor area, Layer 1",MOp1,6836.0,2796.0,9632.0,0.664609375,0.665328125,1.3299375,10285.741154343485,4202.4377069585025,7242.445603646788
"Primary motor area, Layer 2/3",MOp2/3,11368.0,4678.0,16046.0,1.8444375,1.844640625,3.689078125,6163.396699535767,2535.9953242925026,4349.596147411489
"Primary motor area, Layer 5",MOp5,10728.0,2355.0,13083.0,1.636203125,1.6365625,3.272765625,6556.643142947181,1438.9917891922858,3997.536487202624
"Primary motor area, Layer 6a",MOp6a,14876.0,3665.0,18541.0,1.437953125,1.438171875,2.876125,10345.260733029809,2548.374129482959,6446.520926593941
"Primary motor area, Layer 6b",MOp6b,694.0,185.0,879.0,0.09353125,0.09165625,0.1851875,7419.9799532241905,2018.4111830889872,4746.540668241647
Secondary motor area,MOs,43660.0,28012.0,71672.0,6.5543125,6.55003125,13.10434375,6661.263099676739,4276.620817648771,5469.3314955203305
"Secondary motor area, layer 1",MOs1,9922.0,11274.0,21196.0,1.1643125,1.159859375,2.324171875,8521.767137259112,9720.143875200389,9119.807458301679
"Secondary motor area, layer 2/3",MOs2/3,9042.0,7123.0,16165.0,1.901640625,1.902859375,3.8045,4754.841625241363,3743.313927231223,4248.915757655408
"Secondary motor area, layer 5",MOs5,12900.0,5855.0,18755.0,2.26159375,2.261203125,4.522796875,5703.942186787526,2589.3295189922396,4146.770354350702
"Secondary motor area, layer 6a",MOs6a,11491.0,3637.0,15128.0,1.189171875,1.188921875,2.3780937499999997,9663.027054016056,3059.0740034958144,6361.397653057203
