name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,1254659.0,900299.0,2154958.0,4998.928972259112,3554.308670737096,4273.306714914165,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1158305.0,802574.0,1960879.0,5157.352732874781,3566.8699720086247,4361.377339727199,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,994744.0,650940.0,1645684.0,7213.845627032957,4717.5371334764595,5965.287372740237,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,842964.0,544184.0,1387148.0,7611.1757802134,4911.576943926883,6261.116001302474,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,809525.0,526491.0,1336016.0,7615.449324533387,4950.855571130095,6282.882546465065,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,401663.0,243428.0,645091.0,6517.578734582621,3947.261714678357,5231.9777266791325,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,2726.0,1805.0,4531.0,5606.890345802803,3713.156118414709,4660.09931380269,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,722.0,739.0,1461.0,5696.252465483235,5833.970642654496,5765.090326160675,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,1055.0,642.0,1697.0,9014.686248331109,5487.179487179487,7251.168380291093,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,761.0,416.0,1177.0,4095.870826675637,2239.56931359354,3167.8371672484127,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,187.0,8.0,195.0,3333.7047353760445,142.4596549805231,1737.193763919822,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,1.0,0.0,1.0,1939.3939393939393,0.0,955.2238805970148,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,61810.0,29374.0,91184.0,5053.533081157454,2402.5078946796693,3728.272841339163,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,32395.0,10531.0,42926.0,5706.626003616737,1855.2384203123152,3780.995818870958,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
"Primary motor area, Layer 1",MOp1,0.664609375,0.665328125,1.3299375,3509.0,2263.0,5772.0,5279.79311155519,3401.3292313473144,4340.053573946144,11,8,19,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp1,1F9D5A,1E9D5A
"Primary motor area, Layer 2/3",MOp2/3,1.8444375,1.844640625,3.689078125,11801.0,2979.0,14780.0,6398.156619565586,1614.9487112157683,4006.420980851415,11,8,20,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp2/3,1F9D5A,1F9C58
"Primary motor area, Layer 5",MOp5,1.636203125,1.6365625,3.272765625,5893.0,948.0,6841.0,3601.631062769178,579.2629367958755,2090.281060074383,11,8,21,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp5,1F9D5A,1E9C5A
"Primary motor area, Layer 6a",MOp6a,1.437953125,1.438171875,2.876125,10611.0,4032.0,14643.0,7379.239152875724,2803.5592060232716,5091.225172758485,11,8,22,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6a,1F9D5A,1F9B5A
"Primary motor area, Layer 6b",MOp6b,0.09353125,0.09165625,0.1851875,581.0,309.0,890.0,6211.827597728033,3371.2921922945793,4805.939925750928,11,8,23,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6b,1F9D5A,1D9D5A
Secondary motor area,MOs,6.5543125,6.55003125,13.10434375,29415.0,18843.0,48258.0,4487.884884951702,2876.7801680335497,3682.5957041915967,8,7,24,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs,1F9D5A,1D9D59
"Secondary motor area, layer 1",MOs1,1.1643125,1.159859375,2.324171875,7349.0,6978.0,14327.0,6311.879327929571,6016.246581616845,6164.346171687495,11,8,25,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs1,1F9D5A,1E9C59
"Secondary motor area, layer 2/3",MOs2/3,1.901640625,1.902859375,3.8045,10652.0,7162.0,17814.0,5601.4789860728815,3763.8093986845456,4682.3498488631885,11,8,26,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs2/3,1F9D5A,1E9D58
"Secondary motor area, layer 5",MOs5,2.26159375,2.261203125,4.522796875,7098.0,3656.0,10754.0,3138.494700916113,1616.838381116247,2377.732252236068,11,8,27,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs5,1F9D5A,1F9D58
