name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,530879.0,570855.0,1101734.0,2115.1774417303386,2253.690025462235,2184.7513038533666,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,464092.0,494413.0,958505.0,2066.3695179640276,2197.3137473562565,2131.9020638270995,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,310280.0,346599.0,656879.0,2250.1387504280356,2511.8961085903575,2381.0597928388647,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,274707.0,304123.0,578830.0,2480.3470433554485,2744.886867158674,2612.642468600258,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,260503.0,289350.0,549853.0,2450.6314139636465,2720.9013250112403,2585.7937455999445,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,120139.0,115106.0,235245.0,1949.4337083426192,1866.4800554158392,1907.9426008309408,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,367.0,258.0,625.0,754.8528088443245,530.744752659831,642.807784402269,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,279.0,163.0,442.0,2201.183431952663,1286.7891945232516,1744.1272581540168,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,46.0,33.0,79.0,393.0574098798398,282.05128205128204,337.56175724395774,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,40.0,58.0,98.0,215.28887393827264,312.24764468371467,263.7621430674124,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,2.0,4.0,6.0,35.65459610027855,71.22982749026156,53.4521158129176,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,0.0,0.0,0.0,0.0,0.0,0.0,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,12287.0,13276.0,25563.0,1004.5746799576384,1085.8478521742798,1045.2035296011693,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,7072.0,4389.0,11461.0,1245.786667620854,773.2068584892936,1009.5045678628348,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
"Primary motor area, Layer 1",MOp1,0.664609375,0.665328125,1.3299375,896.0,1252.0,2148.0,1348.160338544728,1881.778257908457,1615.1134921753842,11,8,19,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp1,1F9D5A,1E9D5A
"Primary motor area, Layer 2/3",MOp2/3,1.8444375,1.844640625,3.689078125,2686.0,1887.0,4573.0,1456.2705431872862,1022.9634837409048,1239.605084264785,11,8,20,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp2/3,1F9D5A,1F9C58
"Primary motor area, Layer 5",MOp5,1.636203125,1.6365625,3.272765625,2405.0,918.0,3323.0,1469.8664018258737,560.9318312010694,1015.3492124875272,11,8,21,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp5,1F9D5A,1E9C5A
