name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,1679909.0,2387965.0,4067874.0,6693.249537012712,9427.495426426898,8066.6413357590945,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1537783.0,2171191.0,3708974.0,6846.978436265388,9649.398038555171,8249.481562726383,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,1179473.0,1667151.0,2846624.0,8553.49330405958,12082.291378026255,10318.463448717555,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,1003279.0,1475956.0,2479235.0,9058.670151509104,13321.360899715071,11190.426637596807,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,970027.0,1439214.0,2409241.0,9125.340739234918,13533.641885518324,11329.93783691815,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,556390.0,859272.0,1415662.0,9028.254113857698,13933.366203128238,11481.654607653856,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,2228.0,5138.0,7366.0,4582.594163774264,10569.637748706244,7575.875423851382,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,682.0,1243.0,1925.0,5380.670611439842,9812.754409769335,7596.029348295208,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,464.0,1722.0,2186.0,3964.75300400534,14717.948717948717,9340.632928294832,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,876.0,1848.0,2724.0,4714.826339248171,9948.85598923284,7331.51099709828,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
