name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,2254799.0,1525077.0,3779876.0,8983.77969449936,6020.882400893168,7495.537960527721,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1973254.0,1292570.0,3265824.0,8785.91295863878,5744.553299408139,7263.829532131886,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,1341997.0,816430.0,2158427.0,9732.111166231058,5916.887642308332,7823.881940932519,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,1208953.0,716114.0,1925067.0,10915.71383002872,6463.345139921895,8689.10007964496,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,1184427.0,700489.0,1884916.0,11142.267128389,6587.044922259543,8864.19461889135,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,735922.0,398645.0,1134567.0,11941.427459117498,6464.1542725074905,9201.847915139357,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,4666.0,1818.0,6484.0,9597.12045250032,3739.899071068111,6668.7450785029005,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,1285.0,807.0,2092.0,10138.067061143984,6370.7906747255465,8255.009556692767,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,1181.0,410.0,1591.0,10091.3217623498,3504.273504273504,6798.23741487515,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,1833.0,427.0,2260.0,9865.612648221344,2298.7886944818306,6082.677993187266,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,363.0,168.0,531.0,6471.309192200557,2991.6527545909853,4730.512249443208,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,4.0,6.0,10.0,7757.575757575757,11294.117647058823,9552.238805970148,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,129484.0,75188.0,204672.0,10586.501819779838,6149.648110069279,8368.497312933949,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,69828.0,41535.0,111363.0,12300.734081819708,7317.189990283165,9809.044340887258,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
"Primary motor area, Layer 1",MOp1,0.664609375,0.665328125,1.3299375,3530.0,3808.0,7338.0,5311.390619489833,5723.491698175242,5517.552516565628,11,8,19,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp1,1F9D5A,1E9D5A
"Primary motor area, Layer 2/3",MOp2/3,1.8444375,1.844640625,3.689078125,24180.0,14430.0,38610.0,13109.6879129816,7822.661934489272,10466.029368787087,11,8,20,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp2/3,1F9D5A,1F9C58
"Primary motor area, Layer 5",MOp5,1.636203125,1.6365625,3.272765625,25392.0,12070.0,37462.0,15518.855582188184,7375.2148176436895,11446.58808251813,11,8,21,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp5,1F9D5A,1E9C5A
"Primary motor area, Layer 6a",MOp6a,1.437953125,1.438171875,2.876125,16370.0,10677.0,27047.0,11384.23757728542,7424.008343926208,9403.97235864227,11,8,22,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6a,1F9D5A,1F9B5A
"Primary motor area, Layer 6b",MOp6b,0.09353125,0.09165625,0.1851875,356.0,550.0,906.0,3806.21450050117,6000.681895669963,4892.338845764428,11,8,23,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp6b,1F9D5A,1D9D5A
Secondary motor area,MOs,6.5543125,6.55003125,13.10434375,59656.0,33653.0,93309.0,9101.793666383774,5137.838082833574,7120.463395963648,8,7,24,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs,1F9D5A,1D9D59
"Secondary motor area, layer 1",MOs1,1.1643125,1.159859375,2.324171875,7323.0,5124.0,12447.0,6289.548553330827,4417.776939553556,5355.455908354454,11,8,25,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOs/MOs1,1F9D5A,1E9C59
