name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,434128.0,550589.0,984717.0,250.9855625,253.297921875,504.28348437499994,1729.6931173082914,2173.681473279951,1952.7052352714682
Basic cell groups and regions,grey,341232.0,420352.0,761584.0,224.5929375,225.007921875,449.600859375,1519.335397623534,1868.1653361232352,1693.9113529691526
Cerebrum,CH,163167.0,206534.0,369701.0,137.89371875,137.983015625,275.876734375,1183.2808736982445,1496.807408248728,1340.0948827292714
Cerebral cortex,CTX,138185.0,175408.0,313593.0,110.753453125,110.7961875,221.549640625,1247.6811882699485,1583.1591678188386,1415.4525329643604
Cortical plate,CTXpl,131683.0,169065.0,300748.0,106.300359375,106.3434375,212.643796875,1238.782265405676,1589.8019094972365,1414.3276428458007
Isocortex,Isocortex,53353.0,92622.0,145975.0,61.627640625,61.67009375,123.297734375,865.7316661633921,1501.894911583461,1183.9228088005975
"Frontal pole, cerebral cortex",FRP,439.0,595.0,1034.0,0.4861875,0.486109375,0.9722968750000001,902.9438231135108,1224.0043714441838,1063.461198515114
"Frontal pole, layer 1",FRP1,251.0,498.0,749.0,0.12675,0.126671875,0.253421875,1980.276134122288,3931.4172936968057,2955.5459646094087
"Frontal pole, layer 2/3",FRP2/3,103.0,90.0,193.0,0.11703125,0.117,0.23403125000000002,880.1068090787717,769.2307692307692,824.6761917478968
"Frontal pole, layer 5",FRP5,79.0,5.0,84.0,0.185796875,0.18575,0.371546875,425.19552602808847,26.917900403768503,226.08183691492493
"Frontal pole, layer 6a",FRP6a,6.0,2.0,8.0,0.05609375,0.05615625,0.11224999999999999,106.96378830083566,35.61491374513078,71.2694877505568
"Frontal pole, layer 6b",FRP6b,0.0,0.0,0.0,0.000515625,0.00053125,0.001046875,0.0,0.0,0.0
Somatomotor areas,MO,17122.0,14221.0,31343.0,12.231046875,12.226390625,24.4574375,1399.880171745315,1163.139673528957,1281.5324581735106
Primary motor area,MOp,8150.0,3991.0,12141.0,5.676734375,5.676359375,11.35309375,1435.6845787768607,703.0914951539692,1069.400135976152
"Primary motor area, Layer 1",MOp1,1498.0,1213.0,2711.0,0.664609375,0.665328125,1.3299375,2253.955566004467,1823.1605645710529,2038.4416560928614
