name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,1636278.0,2632901.0,4269179.0,250.9855625,253.297921875,504.28348437499994,6519.410852566471,10394.483225564363,8465.831486214833
Basic cell groups and regions,grey,1500818.0,2440490.0,3941308.0,224.5929375,225.007921875,449.600859375,6682.39178268907,10846.240344176773,8766.237692425451
Cerebrum,CH,1224209.0,1967007.0,3191216.0,137.89371875,137.983015625,275.876734375,8877.91707336198,14255.428402476617,11567.54304501144
Cerebral cortex,CTX,1057372.0,1709747.0,2767119.0,110.753453125,110.7961875,221.549640625,9547.079302408883,15431.460581619742,12489.837456715577
Cortical plate,CTXpl,1026483.0,1667164.0,2693647.0,106.300359375,106.3434375,212.643796875,9656.439602229708,15677.168607606842,12667.413955100825
Isocortex,Isocortex,584408.0,1024169.0,1608577.0,61.627640625,61.67009375,123.297734375,9482.887776867574,16607.22301074822,13046.281897667675
"Frontal pole, cerebral cortex",FRP,4097.0,8610.0,12707.0,0.4861875,0.486109375,0.9722968750000001,8426.790075845225,17712.063257368776,13069.053626239413
"Frontal pole, layer 1",FRP1,842.0,1641.0,2483.0,0.12675,0.126671875,0.253421875,6642.998027613412,12954.730479832246,9797.891361982858
"Frontal pole, layer 2/3",FRP2/3,1315.0,2618.0,3933.0,0.11703125,0.117,0.23403125000000002,11236.315086782375,22376.068376068375,16805.4479903859
"Frontal pole, layer 5",FRP5,1595.0,3405.0,5000.0,0.185796875,0.18575,0.371546875,8584.643848288622,18331.090174966354,13457.25219731696
"Frontal pole, layer 6a",FRP6a,342.0,936.0,1278.0,0.05609375,0.05615625,0.11224999999999999,6096.935933147633,16667.7796327212,11385.300668151449
"Frontal pole, layer 6b",FRP6b,3.0,10.0,13.0,0.000515625,0.00053125,0.001046875,5818.181818181818,18823.529411764703,12417.910447761193
Somatomotor areas,MO,65987.0,151652.0,217639.0,12.231046875,12.226390625,24.4574375,5395.041052035866,12403.660626539158,8898.683682622106
Primary motor area,MOp,33290.0,80342.0,113632.0,5.676734375,5.676359375,11.35309375,5864.28707085665,14153.79025398652,10008.901758606547
"Primary motor area, Layer 1",MOp1,899.0,5407.0,6306.0,0.664609375,0.665328125,1.3299375,1352.6742682496767,8126.817125008806,4741.576201889186
"Primary motor area, Layer 2/3",MOp2/3,9853.0,18339.0,28192.0,1.8444375,1.844640625,3.689078125,5342.008064789401,9941.773888884183,7642.017611107111
"Primary motor area, Layer 5",MOp5,10050.0,27423.0,37473.0,1.636203125,1.6365625,3.272765625,6142.2691635551055,16756.463624212338,11449.949154241682
"Primary motor area, Layer 6a",MOp6a,11826.0,27730.0,39556.0,1.437953125,1.438171875,2.876125,8224.190200914929,19281.422813250327,13753.226998131166
"Primary motor area, Layer 6b",MOp6b,662.0,1443.0,2105.0,0.09353125,0.09165625,0.1851875,7077.848312729703,15743.607228094104,11366.857914276072
Secondary motor area,MOs,32697.0,71310.0,104007.0,6.5543125,6.55003125,13.10434375,4988.623902201794,10886.97095910802,7936.833921958129
"Secondary motor area, layer 1",MOs1,3064.0,5680.0,8744.0,1.1643125,1.159859375,2.324171875,2631.595898867357,4897.145397475449,3762.200246055382
"Secondary motor area, layer 2/3",MOs2/3,10173.0,15849.0,26022.0,1.901640625,1.902859375,3.8045,5349.591224682635,8329.044283684914,6839.794979629386
"Secondary motor area, layer 5",MOs5,13695.0,31999.0,45694.0,2.26159375,2.261203125,4.522796875,6055.464205275594,14151.316016777571,10103.040499690802
"Secondary motor area, layer 6a",MOs6a,5582.0,17294.0,22876.0,1.189171875,1.188921875,2.3780937499999997,4694.0228888275715,14545.951558002918,9619.469375418863
"Secondary motor area, layer 6b",MOs6b,183.0,488.0,671.0,0.03759375,0.0371875,0.07478125,4867.83042394015,13122.689075630253,8972.837442540744
Somatosensory areas,SS,178633.0,350775.0,529408.0,16.666171875,16.666015625,33.3321875,10718.298199477797,21047.322161021915,15882.785970767743
Primary somatosensory area,SSp,114166.0,226517.0,340683.0,12.1535,12.1554375,24.3089375,9393.672604599498,18635.03473239857,14014.7219515456
"Primary somatosensory area, nose",SSp-n,9896.0,25660.0,35556.0,1.509703125,1.5095625,3.019265625,6554.931122633796,16998.302488303732,11776.373600782475
"Primary somatosensory area, nose, layer 1",SSp-n1,1078.0,3731.0,4809.0,0.2028125,0.202515625,0.40532812500000004,5315.254237288135,18423.26980942829,11864.46166300451
"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,2444.0,3925.0,6369.0,0.3201875,0.32015625,0.64034375,7633.027522935779,12259.638848218645,9946.22029183544
"Primary somatosensory area, nose, layer 4",SSp-n4,2165.0,7012.0,9177.0,0.274109375,0.273953125,0.5480625,7898.307017043836,25595.61968858723,16744.44064317482
"Primary somatosensory area, nose, layer 5",SSp-n5,1361.0,4196.0,5557.0,0.283515625,0.283515625,0.56703125,4800.4408928079365,14799.889776798016,9800.165334802976
"Primary somatosensory area, nose, layer 6a",SSp-n6a,2689.0,6552.0,9241.0,0.402328125,0.402546875,0.804875,6683.599363082062,16276.365330124596,11481.285913961796
"Primary somatosensory area, nose, layer 6b",SSp-n6b,159.0,244.0,403.0,0.02675,0.026875,0.053625,5943.92523364486,9079.06976744186,7515.151515151515
"Primary somatosensory area, barrel field",SSp-bfd,22012.0,41433.0,63445.0,3.145734375,3.144515625,6.29025,6997.412170250389,13176.274167821952,10086.244584873415
"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,2323.0,6545.0,8868.0,0.419375,0.41946875,0.83884375,5539.19523099851,15603.06935856366,10571.69466900123
"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,6363.0,7997.0,14360.0,0.75821875,0.75809375,1.5163125000000002,8392.037258376951,10548.827239375078,9470.343349408515
"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,3076.0,6752.0,9828.0,0.641265625,0.641375,1.282640625,4796.764211398358,10527.38257649581,7662.317728319264
"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,3690.0,6940.0,10630.0,0.603984375,0.6041875,1.2081718750000001,6109.429569266589,11486.500465501187,8798.417029861748
"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,6043.0,12210.0,18253.0,0.648828125,0.64875,1.297578125,9313.71462974112,18820.809248554913,14066.975736046721
"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,517.0,989.0,1506.0,0.0740625,0.072640625,0.146703125,6980.590717299578,13614.970961497096,10265.629992544467
"Primary somatosensory area, lower limb",SSp-ll,2156.0,11992.0,14148.0,1.176484375,1.17609375,2.352578125,1832.5785244704164,10196.466055533414,6013.82791485405
"Primary somatosensory area, lower limb, layer 1",SSp-ll1,147.0,2412.0,2559.0,0.149265625,0.14996875,0.29923437500000005,984.8215220349628,16083.350698062097,8551.824969975456
"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,1029.0,2546.0,3575.0,0.32325,0.32334375,0.64659375,3183.294663573086,7873.973132308882,5528.973950026582
"Primary somatosensory area, lower limb, layer 4",SSp-ll4,304.0,1446.0,1750.0,0.1366875,0.13634375,0.27303125,2224.0512117055328,10605.546642218656,6409.522719468925
"Primary somatosensory area, lower limb, layer 5",SSp-ll5,275.0,2141.0,2416.0,0.278,0.2776875,0.5556875,989.2086330935252,7710.105784379924,4347.767405241255
"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,357.0,3139.0,3496.0,0.263890625,0.26378125,0.527671875,1352.8332050447036,11900.011846937565,6625.329424654289
"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,44.0,308.0,352.0,0.025390625,0.02496875,0.050359375,1732.923076923077,12335.419274092616,6989.761092150171
"Primary somatosensory area, mouth",SSp-m,72681.0,100708.0,173389.0,3.105328125,3.1075,6.212828125,23405.256087068097,32408.04505229284,27908.224163210696
"Primary somatosensory area, mouth, layer 1",SSp-m1,3736.0,7617.0,11353.0,0.3904375,0.39221875,0.78265625,9568.753001440691,19420.285236236155,14505.729686564184
"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,11663.0,14391.0,26054.0,0.7490625,0.749703125,1.4987656249999999,15570.129328327075,19195.59825764365,17383.63861928045
"Primary somatosensory area, mouth, layer 4",SSp-m4,18877.0,27731.0,46608.0,0.4736875,0.473421875,0.9471093749999999,39851.16770022431,58575.662563120895,49210.78940856224
"Primary somatosensory area, mouth, layer 5",SSp-m5,18805.0,19138.0,37943.0,0.60871875,0.60925,1.2179687499999998,30892.7563016582,31412.39228559705,31152.687620269407
"Primary somatosensory area, mouth, layer 6a",SSp-m6a,18555.0,30935.0,49490.0,0.82609375,0.8255625,1.6516562499999998,22461.131076224705,37471.421000832765,29963.862032429573
"Primary somatosensory area, mouth, layer 6b",SSp-m6b,1045.0,896.0,1941.0,0.057328125,0.05734375,0.114671875,18228.40010902153,15625.068119891008,16926.556751601034
"Primary somatosensory area, upper limb",SSp-ul,4277.0,28900.0,33177.0,1.88471875,1.88615625,3.770875,2269.3041070451495,15322.1664429975,8798.223224052772
"Primary somatosensory area, upper limb, layer 1",SSp-ul1,254.0,3485.0,3739.0,0.230640625,0.231265625,0.46190624999999996,1101.280401056839,15069.252077562329,8094.716189702997
"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,1587.0,6180.0,7767.0,0.4891875,0.48934375,0.9785312500000001,3244.1548486009965,12629.158950124527,7937.406189122728
"Primary somatosensory area, upper limb, layer 4",SSp-ul4,760.0,4634.0,5394.0,0.261640625,0.261640625,0.52328125,2904.7476858763807,17711.316810988355,10308.032248432368
"Primary somatosensory area, upper limb, layer 5",SSp-ul5,499.0,5269.0,5768.0,0.395625,0.3961875,0.7918125,1261.29541864139,13299.258558132196,7284.552845528455
"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,1070.0,8772.0,9842.0,0.470546875,0.47053125,0.941078125,2273.9498588743154,18642.757521418607,10458.217802055487
"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,107.0,560.0,667.0,0.037078125,0.0371875,0.074265625,2885.798567214496,15058.823529411766,8981.274984220492
"Primary somatosensory area, trunk",SSp-tr,1486.0,9755.0,11241.0,0.700375,0.700359375,1.4007343749999999,2121.7205068713192,13928.56346072329,8025.07613193972
"Primary somatosensory area, trunk, layer 1",SSp-tr1,181.0,945.0,1126.0,0.10228125,0.102109375,0.204390625,1769.6303085853956,9254.78194338179,5509.058940447978
"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,433.0,2816.0,3249.0,0.21225,0.211515625,0.42376562500000003,2040.0471142520612,13313.437246066336,7666.973931639688
"Primary somatosensory area, trunk, layer 4",SSp-tr4,82.0,1197.0,1279.0,0.07596875,0.076625,0.15259375,1079.3911970382558,15621.533442088092,8381.732541470408
"Primary somatosensory area, trunk, layer 5",SSp-tr5,295.0,2252.0,2547.0,0.17646875,0.176765625,0.353234375,1671.6840800425005,12740.033589675591,7210.510019020658
"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,421.0,2201.0,2622.0,0.11621875,0.116234375,0.23245312499999998,3622.4791610648026,18935.87847829009,11279.693486590038
"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,74.0,344.0,418.0,0.0171875,0.017109375,0.034296875000000004,4305.454545454545,20105.93607305936,12187.6993166287
"Primary somatosensory area, unassigned",SSp-un,1658.0,8069.0,9727.0,0.63115625,0.63125,1.26240625,2626.9247908105167,12782.574257425744,7705.126618313241
"Primary somatosensory area, unassigned, layer 1",SSp-un1,170.0,1154.0,1324.0,0.08315625,0.083015625,0.166171875,2044.3442314919205,13900.997553171466,7967.653972731547
"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,685.0,1681.0,2366.0,0.165390625,0.1659375,0.331328125,4141.709966934341,10130.320150659134,7140.957321386466
"Primary somatosensory area, unassigned, layer 4",SSp-un4,296.0,1180.0,1476.0,0.09409375,0.093875,0.18796875000000002,3145.7987379608103,12569.906790945406,7852.369077306733
"Primary somatosensory area, unassigned, layer 5",SSp-un5,227.0,1424.0,1651.0,0.129125,0.1288125,0.2579375,1757.9864472410457,11054.82775351771,6400.775381633148
"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,262.0,2502.0,2764.0,0.146953125,0.147421875,0.294375,1782.881446039341,16971.70111287758,9389.384288747346
"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,18.0,128.0,146.0,0.0124375,0.0121875,0.024625,1447.2361809045226,10502.564102564102,5928.934010152284
Supplemental somatosensory area,SSs,64467.0,124258.0,188725.0,4.512671875,4.510578125,9.02325,14285.77166382167,27548.13164886707,20915.412960961956
"Supplemental somatosensory area, layer 1",SSs1,3139.0,7895.0,11034.0,0.624,0.623453125,1.247453125,5030.448717948718,12663.341770882937,8845.222140110474
"Supplemental somatosensory area, layer 2/3",SSs2/3,11864.0,20116.0,31980.0,1.072484375,1.07234375,2.144828125,11062.165824094174,18758.910097624947,14910.285643517473
"Supplemental somatosensory area, layer 4",SSs4,11583.0,27483.0,39066.0,0.5831875,0.58265625,1.16584375,19861.536812774622,47168.46339501207,33508.77851341571
"Supplemental somatosensory area, layer 5",SSs5,17414.0,33385.0,50799.0,1.092734375,1.09278125,2.185515625,15936.169300064344,30550.487574709023,23243.485161539396
"Supplemental somatosensory area, layer 6a",SSs6a,19000.0,33368.0,52368.0,1.037703125,1.03634375,2.0740468749999996,18309.668287835215,32197.81081325574,25249.18825665404
"Supplemental somatosensory area, layer 6b",SSs6b,1467.0,2011.0,3478.0,0.1025625,0.103,0.20556249999999998,14303.47349177331,19524.27184466019,16919.42839768927
Gustatory areas,GU,22312.0,21203.0,43515.0,0.884859375,0.883828125,1.7686875,25215.30610443043,23989.958454874923,24602.989504929505
"Gustatory areas, layer 1",GU1,926.0,861.0,1787.0,0.0978125,0.098875,0.19668750000000002,9467.092651757188,8707.96460176991,9085.478233238004
"Gustatory areas, layer 2/3",GU2/3,5013.0,5596.0,10609.0,0.20109375,0.201015625,0.402109375,24928.67132867133,27838.63194714341,26383.368952788034
"Gustatory areas, layer 4",GU4,3570.0,2739.0,6309.0,0.0735,0.073796875,0.147296875,48571.42857142857,37115.39275883972,42831.86591704678
"Gustatory areas, layer 5",GU5,7421.0,7031.0,14452.0,0.272515625,0.272171875,0.5446875,27231.466085660228,25832.941041391583,26532.644865174985
"Gustatory areas, layer 6a",GU6a,5237.0,4833.0,10070.0,0.219875,0.2186875,0.43856249999999997,23818.078453666854,22100.02857959417,22961.379506911788
"Gustatory areas, layer 6b",GU6b,145.0,143.0,288.0,0.0200625,0.01928125,0.03934375,7227.414330218068,7416.531604538088,7320.095313741065
Visceral area,VISC,12806.0,22099.0,34905.0,1.177078125,1.17634375,2.353421875,10879.48176761844,18786.17538453365,14831.594951500143
"Visceral area, layer 1",VISC1,437.0,1363.0,1800.0,0.171578125,0.16690625,0.338484375,2546.9447227028504,8166.260999812769,5317.823016202742
"Visceral area, layer 2/3",VISC2/3,2311.0,4994.0,7305.0,0.268859375,0.271078125,0.5399375,8595.571569710002,18422.73329874921,13529.343674036349
