name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,459648.0,393755.0,853403.0,250.9855625,253.297921875,504.28348437499994,1831.3722726581136,1554.5133457285694,1692.3080498218033
Basic cell groups and regions,grey,407505.0,325978.0,733483.0,224.5929375,225.007921875,449.600859375,1814.415914124637,1448.7401033866377,1631.4092482377164
Cerebrum,CH,264734.0,182987.0,447721.0,137.89371875,137.983015625,275.876734375,1919.8408919550584,1326.1559705095044,1622.902348087866
Cerebral cortex,CTX,226951.0,152196.0,379147.0,110.753453125,110.7961875,221.549640625,2049.155070080349,1373.657374266601,1711.341074309179
Cortical plate,CTXpl,216607.0,144568.0,361175.0,106.300359375,106.3434375,212.643796875,2037.688313318555,1359.444488523328,1698.497700416402
Isocortex,Isocortex,123150.0,76930.0,200080.0,61.627640625,61.67009375,123.297734375,1998.2916553524965,1247.4441876456528,1622.7386578854157
"Frontal pole, cerebral cortex",FRP,583.0,288.0,871.0,0.4861875,0.486109375,0.9722968750000001,1199.1258516518833,592.4592587830671,895.8169283430021
"Frontal pole, layer 1",FRP1,193.0,214.0,407.0,0.12675,0.126671875,0.253421875,1522.6824457593689,1689.4042185765388,1606.0176336395584
"Frontal pole, layer 2/3",FRP2/3,136.0,40.0,176.0,0.11703125,0.117,0.23403125000000002,1162.082777036048,341.88034188034186,752.0363199359059
"Frontal pole, layer 5",FRP5,207.0,26.0,233.0,0.185796875,0.18575,0.371546875,1114.119922630561,139.97308209959624,627.1079523949703
"Frontal pole, layer 6a",FRP6a,47.0,8.0,55.0,0.05609375,0.05615625,0.11224999999999999,837.883008356546,142.4596549805231,489.977728285078
"Frontal pole, layer 6b",FRP6b,0.0,0.0,0.0,0.000515625,0.00053125,0.001046875,0.0,0.0,0.0
Somatomotor areas,MO,12145.0,5889.0,18034.0,12.231046875,12.226390625,24.4574375,992.9648806124782,481.66300101343273,737.3626120888584
Primary motor area,MOp,4119.0,1599.0,5718.0,5.676734375,5.676359375,11.35309375,725.5932245376551,281.69463812357725,503.65126245874615
"Primary motor area, Layer 1",MOp1,1868.0,728.0,2596.0,0.664609375,0.665328125,1.3299375,2810.6735629481605,1094.196942298208,1951.971427228723
"Primary motor area, Layer 2/3",MOp2/3,578.0,175.0,753.0,1.8444375,1.844640625,3.689078125,313.3746738504287,94.86942747994613,204.116035086679
"Primary motor area, Layer 5",MOp5,568.0,254.0,822.0,1.636203125,1.6365625,3.272765625,347.1451626765473,155.20336070269238,251.16372334178376
"Primary motor area, Layer 6a",MOp6a,1003.0,397.0,1400.0,1.437953125,1.438171875,2.876125,697.5192602331874,276.04489206131916,486.76604806814726
"Primary motor area, Layer 6b",MOp6b,102.0,45.0,147.0,0.09353125,0.09165625,0.1851875,1090.5446040761778,490.96488237299695,793.7900776240297
Secondary motor area,MOs,8026.0,4290.0,12316.0,6.5543125,6.55003125,13.10434375,1224.5372798443773,654.9587072580761,939.841035534496
"Secondary motor area, layer 1",MOs1,2668.0,1368.0,4036.0,1.1643125,1.159859375,2.324171875,2291.4810242095655,1179.453328124369,1736.5325014958282
"Secondary motor area, layer 2/3",MOs2/3,3592.0,1130.0,4722.0,1.901640625,1.902859375,3.8045,1888.8952795694508,593.8431472372991,1241.1617821001446
"Secondary motor area, layer 5",MOs5,783.0,1530.0,2313.0,2.26159375,2.261203125,4.522796875,346.21602575617305,676.630941769108,511.40921512200345
"Secondary motor area, layer 6a",MOs6a,937.0,250.0,1187.0,1.189171875,1.188921875,2.3780937499999997,787.9432903675089,210.27453969589047,499.1392790969659
