name,acronym,count_left,count_right,count_sum,volume_left,volume_right,volume_sum,density_left,density_right,average_density
root,root,2253470.0,2660180.0,4913650.0,250.9855625,253.297921875,504.28348437499994,8978.484569207045,10502.178542596856,9743.82495609566
Basic cell groups and regions,grey,2042720.0,2385789.0,4428509.0,224.5929375,225.007921875,449.600859375,9095.210306869069,10603.133348013373,9849.86773858966
Cerebrum,CH,1439074.0,1730081.0,3169155.0,137.89371875,137.983015625,275.876734375,10436.109875381831,12538.362001754518,11487.57617121913
Cerebral cortex,CTX,1263335.0,1549226.0,2812561.0,110.753453125,110.7961875,221.549640625,11406.732380381482,13982.665242881214,12694.947245527721
Cortical plate,CTXpl,1223984.0,1507844.0,2731828.0,106.300359375,106.3434375,212.643796875,11514.391928649113,14179.003758459474,12846.96774675196
Isocortex,Isocortex,699398.0,841396.0,1540794.0,61.627640625,61.67009375,123.297734375,11348.77131279111,13643.501231097123,12496.531325659244
"Frontal pole, cerebral cortex",FRP,2898.0,2938.0,5836.0,0.4861875,0.486109375,0.9722968750000001,5960.663324334748,6043.907299668927,6002.281967634628
"Frontal pole, layer 1",FRP1,550.0,469.0,1019.0,0.12675,0.126671875,0.253421875,4339.250493096647,3702.479338842976,4020.9630680066584
"Frontal pole, layer 2/3",FRP2/3,706.0,763.0,1469.0,0.11703125,0.117,0.23403125000000002,6032.576769025367,6521.367521367521,6276.939511283214
"Frontal pole, layer 5",FRP5,1231.0,1324.0,2555.0,0.185796875,0.18575,0.371546875,6625.515095450341,7127.8600269179005,6876.6558728289665
"Frontal pole, layer 6a",FRP6a,410.0,380.0,790.0,0.05609375,0.05615625,0.11224999999999999,7309.192200557103,6766.833611574847,7037.861915367484
"Frontal pole, layer 6b",FRP6b,1.0,2.0,3.0,0.000515625,0.00053125,0.001046875,1939.3939393939393,3764.705882352941,2865.6716417910447
Somatomotor areas,MO,103988.0,134657.0,238645.0,12.231046875,12.226390625,24.4574375,8501.970523271337,11013.634696462186,9757.563522343662
Primary motor area,MOp,52433.0,68885.0,121318.0,5.676734375,5.676359375,11.35309375,9236.472333620508,12135.419103904076,10685.897841722659
"Primary motor area, Layer 1",MOp1,1867.0,4638.0,6505.0,0.664609375,0.665328125,1.3299375,2809.1689197131777,6970.99645381743,4891.207293575826
"Primary motor area, Layer 2/3",MOp2/3,13079.0,18533.0,31612.0,1.8444375,1.844640625,3.689078125,7091.0507946189555,10046.94342563338,8569.078487596411
"Primary motor area, Layer 5",MOp5,22964.0,29311.0,52275.0,1.636203125,1.6365625,3.272765625,14034.932245958154,17910.101202978807,15972.729486243
"Primary motor area, Layer 6a",MOp6a,13642.0,15475.0,29117.0,1.437953125,1.438171875,2.876125,9487.096458724967,10760.18817291918,10123.690729714459
"Primary motor area, Layer 6b",MOp6b,881.0,928.0,1809.0,0.09353125,0.09165625,0.1851875,9419.311727363847,10124.786907603137,9768.477894026324
Secondary motor area,MOs,51555.0,65772.0,117327.0,6.5543125,6.55003125,13.10434375,7865.813538796022,10041.478809738504,8953.290774290013
"Secondary motor area, layer 1",MOs1,4448.0,8679.0,13127.0,1.1643125,1.159859375,2.324171875,3820.280208277417,7482.803680403066,5648.033237645129
"Secondary motor area, layer 2/3",MOs2/3,11864.0,14616.0,26480.0,1.901640625,1.902859375,3.8045,6238.82338441313,7681.072070814482,6960.178735707715
"Secondary motor area, layer 5",MOs5,25390.0,31463.0,56853.0,2.26159375,2.261203125,4.522796875,11226.596288568626,13914.274065935584,12570.319112551346
"Secondary motor area, layer 6a",MOs6a,9472.0,10630.0,20102.0,1.189171875,1.188921875,2.3780937499999997,7965.206879787667,8940.873427869263,8452.988869761759
"Secondary motor area, layer 6b",MOs6b,381.0,384.0,765.0,0.03759375,0.0371875,0.07478125,10134.663341645884,10326.050420168069,10229.837024655246
Somatosensory areas,SS,245507.0,272742.0,518249.0,16.666171875,16.666015625,33.3321875,14730.857322326756,16365.159264033751,15548.004462653402
Primary somatosensory area,SSp,188324.0,193355.0,381679.0,12.1535,12.1554375,24.3089375,15495.453984448925,15906.872952948012,15701.179864401725
"Primary somatosensory area, nose",SSp-n,22779.0,20713.0,43492.0,1.509703125,1.5095625,3.019265625,15088.3969323439,13721.194054568792,14404.827332805473
"Primary somatosensory area, nose, layer 1",SSp-n1,1474.0,1676.0,3150.0,0.2028125,0.202515625,0.40532812500000004,7267.796610169491,8275.904636987887,7771.481438649242
"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,2222.0,2720.0,4942.0,0.3201875,0.32015625,0.64034375,6939.683779035721,8495.851634943876,7717.729735005612
"Primary somatosensory area, nose, layer 4",SSp-n4,3712.0,4232.0,7944.0,0.274109375,0.273953125,0.5480625,13542.039559938436,15447.89824901614,14494.697228874444
"Primary somatosensory area, nose, layer 5",SSp-n5,5440.0,4509.0,9949.0,0.283515625,0.283515625,0.56703125,19187.65500137779,15903.885367869936,17545.770184623863
"Primary somatosensory area, nose, layer 6a",SSp-n6a,9499.0,7250.0,16749.0,0.402328125,0.402546875,0.804875,23610.0819449299,18010.324884524318,20809.44246000932
"Primary somatosensory area, nose, layer 6b",SSp-n6b,432.0,326.0,758.0,0.02675,0.026875,0.053625,16149.532710280377,12130.232558139534,14135.198135198136
"Primary somatosensory area, barrel field",SSp-bfd,55413.0,53130.0,108543.0,3.145734375,3.144515625,6.29025,17615.282599949336,16896.083955696675,17255.752950995586
"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,1672.0,1468.0,3140.0,0.419375,0.41946875,0.83884375,3986.8852459016393,3499.664754525814,3743.2477740938048
"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,6325.0,7202.0,13527.0,0.75821875,0.75809375,1.5163125000000002,8341.919795573507,9500.144276351044,8920.984295783355
