name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,418548.0,645491.0,1064039.0,1667.6178335955085,2548.3470026988352,2110.001681531869,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,342065.0,510718.0,852783.0,1523.0443299224405,2269.777862682196,1896.7557161378031,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,167058.0,248129.0,415187.0,1211.4982576028322,1798.2575527581348,1504.972867467813,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,140472.0,208884.0,349356.0,1268.3306572975082,1885.2995280185069,1576.8745957540414,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,134747.0,202375.0,337122.0,1267.606250743214,1903.032333330395,1585.3836554572667,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,59880.0,102151.0,162031.0,971.6419352213356,1656.410648800092,1314.1441797072762,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,475.0,1042.0,1517.0,976.989330248104,2143.5505126804023,1560.2230543011874,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,268.0,851.0,1119.0,2114.3984220907296,6718.144813124461,4415.561995190826,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,90.0,76.0,166.0,769.0253671562083,649.5726495726495,709.3069835759113,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,91.0,103.0,194.0,489.7821882095703,554.5087483176312,522.1413852558981,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,26.0,12.0,38.0,463.5097493036211,213.68948247078464,338.5300668151448,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
