name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,1941182.0,1157101.0,3098283.0,7734.237701421571,4568.142491792798,6143.931133973101,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1802201.0,1051528.0,2853729.0,8024.299517432511,4673.293238911658,6347.249878407775,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,1482618.0,793274.0,2275892.0,10751.889306052964,5749.069886658378,8249.669930144866,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,1267706.0,661388.0,1929094.0,11446.19841847482,5969.411176715806,8707.276592992668,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,1232191.0,635741.0,1867932.0,11591.597688330958,5978.187417535756,8784.3239607786,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,750645.0,322646.0,1073291.0,12180.330001072469,5231.806543183664,8704.872035488284,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,7754.0,2916.0,10670.0,15948.57950893431,5998.6499951785545,10974.014495315538,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,1767.0,766.0,2533.0,13940.828402366864,6047.119773035649,9995.190825574942,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,2465.0,811.0,3276.0,21062.75033377837,6931.623931623932,13998.13059153425,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,2792.0,985.0,3777.0,15027.16340089143,5302.826379542395,10165.608309853233,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
