name,acronym,volume_left,volume_right,volume_sum,count_left,count_right,count_sum,density_left,density_right,average_density,st_level,depth,graph_order,acronym_path,color_hex_triplet,svg_hex_triplet
root,root,250.9855625,253.297921875,504.28348437499994,1280845.0,874105.0,2154950.0,5103.261666694474,3450.8968471970416,4273.290850821353,0,0,0,root,FFFFFF,000000
Basic cell groups and regions,grey,224.5929375,225.007921875,449.600859375,1166275.0,790356.0,1956631.0,5192.839155950752,3512.5696616098307,4351.9289592105215,1,1,1,root/grey,BFDAE3,BFDAE3
Cerebrum,CH,137.89371875,137.983015625,275.876734375,866570.0,585763.0,1452333.0,6284.332657465588,4245.181896820861,5264.427256942369,2,2,2,root/grey/CH,B0F0FF,B0F0FF
Cerebral cortex,CTX,110.753453125,110.7961875,221.549640625,766401.0,510072.0,1276473.0,6919.883564578475,4603.696314008999,5761.566556366424,3,3,3,root/grey/CH/CTX,B0FFB8,B0FFB8
Cortical plate,CTXpl,106.300359375,106.3434375,212.643796875,741245.0,492604.0,1233849.0,6973.118476345697,4632.199330588688,5802.421787668242,4,4,4,root/grey/CH/CTX/CTXpl,70FF70,70FF70
Isocortex,Isocortex,61.627640625,61.67009375,123.297734375,382146.0,232744.0,614890.0,6200.886422463135,3774.017288566227,4987.03405311457,5,5,5,root/grey/CH/CTX/CTXpl/Isocortex,70FF71,70FF71
"Frontal pole, cerebral cortex",FRP,0.4861875,0.486109375,0.972296875,2907.0,1625.0,4532.0,5979.174701118396,3342.8690816752915,4661.127806257734,8,6,6,root/grey/CH/CTX/CTXpl/Isocortex/FRP,268F45,268F44
"Frontal pole, layer 1",FRP1,0.12675,0.126671875,0.253421875,875.0,654.0,1529.0,6903.3530571992105,5162.945602565685,6033.417596645909,11,7,7,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP1,268F45,268F45
"Frontal pole, layer 2/3",FRP2/3,0.11703125,0.117,0.23403125,1088.0,417.0,1505.0,9296.662216288383,3564.102564102564,6430.765122179196,11,7,8,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP2/3,268F45,268E45
"Frontal pole, layer 5",FRP5,0.185796875,0.18575,0.371546875,829.0,488.0,1317.0,4461.8619123707,2627.1870794078063,3544.640228773287,11,7,9,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP5,268F45,258F45
"Frontal pole, layer 6a",FRP6a,0.05609375,0.05615625,0.1122499999999999,115.0,66.0,181.0,2050.139275766017,1175.2921535893156,1612.4721603563476,11,7,10,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6a,268F45,268E44
"Frontal pole, layer 6b",FRP6b,0.000515625,0.00053125,0.001046875,0.0,0.0,0.0,0.0,0.0,0.0,11,7,11,root/grey/CH/CTX/CTXpl/Isocortex/FRP/FRP6b,268F45,258F44
Somatomotor areas,MO,12.231046875,12.226390625,24.4574375,55382.0,26234.0,81616.0,4527.985262913155,2145.686393035557,3337.062601100381,6,6,12,root/grey/CH/CTX/CTXpl/Isocortex/MO,1F9D5A,1F9C59
Primary motor area,MOp,5.676734375,5.676359375,11.35309375,25864.0,9510.0,35374.0,4556.140606807941,1675.3696113541089,3115.802685941883,8,7,18,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp,1F9D5A,1E9B5A
"Primary motor area, Layer 1",MOp1,0.664609375,0.665328125,1.3299375,3603.0,1021.0,4624.0,5421.229575643588,1534.5811512176792,3476.855115371963,11,8,19,root/grey/CH/CTX/CTXpl/Isocortex/MO/MOp/MOp1,1F9D5A,1E9D5A
