id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,548918.0,699.556515625,784.6656956794748
0,left root,root-L,-1.0,0.0,1636278.0,250.9855625,6519.410852566471
1,left Basic cell groups and regions,grey-L,0.0,1.0,1500818.0,224.5929375,6682.39178268907
2,left Cerebrum,CH-L,1.0,2.0,1224209.0,137.89371875,8877.91707336198
3,left Cerebral cortex,CTX-L,2.0,3.0,1057372.0,110.753453125,9547.079302408883
4,left Cortical plate,CTXpl-L,3.0,4.0,1026483.0,106.300359375,9656.439602229708
5,left Isocortex,Isocortex-L,4.0,5.0,584408.0,61.627640625,9482.887776867574
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,4097.0,0.4861875,8426.790075845225
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,842.0,0.12675,6642.998027613412
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,1315.0,0.11703125,11236.315086782377
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,1595.0,0.185796875,8584.643848288622
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,342.0,0.05609375,6096.935933147633
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,3.0,0.000515625,5818.181818181818
12,left Somatomotor areas,MO-L,5.0,6.0,65987.0,12.231046875,5395.041052035866
18,left Primary motor area,MOp-L,12.0,7.0,33290.0,5.676734375,5864.28707085665
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,899.0,0.664609375,1352.6742682496767
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,9853.0,1.8444375,5342.008064789401
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,10050.0,1.636203125,6142.2691635551055
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,11826.0,1.437953125,8224.190200914929
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,662.0,0.09353125,7077.848312729703
24,left Secondary motor area,MOs-L,12.0,7.0,32697.0,6.5543125,4988.623902201794
