id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,592388.0,699.556515625,846.8050640208058
0,left root,root-L,-1.0,0.0,1562572.0,250.9855625,6225.744558514198
1,left Basic cell groups and regions,grey-L,0.0,1.0,1348801.0,224.5929375,6005.536126887338
2,left Cerebrum,CH-L,1.0,2.0,953623.0,137.89371875,6915.637700139985
3,left Cerebral cortex,CTX-L,2.0,3.0,821206.0,110.753453125,7414.721408940269
4,left Cortical plate,CTXpl-L,3.0,4.0,799405.0,106.300359375,7520.24738862742
5,left Isocortex,Isocortex-L,4.0,5.0,397047.0,61.627640625,6442.677278788004
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,3208.0,0.4861875,6598.277413549299
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,2120.0,0.12675,16725.838264299804
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,318.0,0.11703125,2717.222963951936
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,593.0,0.185796875,3191.657556134892
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,176.0,0.05609375,3137.6044568245125
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,1.0,0.000515625,1939.3939393939393
12,left Somatomotor areas,MO-L,5.0,6.0,59296.0,12.231046875,4847.990577257926
18,left Primary motor area,MOp-L,12.0,7.0,30172.0,5.676734375,5315.027620963858
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,4960.0,0.664609375,7463.030445515458
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,11805.0,1.8444375,6400.325302429603
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,5654.0,1.636203125,3455.5611791781657
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,7343.0,1.437953125,5106.564235186735
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,410.0,0.09353125,4383.561643835616
24,left Secondary motor area,MOs-L,12.0,7.0,29124.0,6.5543125,4443.486635707406
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,9720.0,1.1643125,8348.274196145794
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,7669.0,1.901640625,4032.8334908179613
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,7087.0,2.26159375,3133.630874245209
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,4564.0,1.189171875,3837.9649703706623
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,84.0,0.03759375,2234.4139650872817
30,left Somatosensory areas,SS-L,5.0,6.0,96885.0,16.666171875,5813.2725815297645
37,left Primary somatosensory area,SSp-L,30.0,7.0,68419.0,12.1535,5629.571728308718
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,10109.0,1.509703125,6696.018463895013
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,4317.0,0.2028125,21285.670261941446
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,2517.0,0.3201875,7861.018934218231
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,1164.0,0.274109375,4246.480077523799
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,424.0,0.283515625,1495.5084045191513
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,1583.0,0.402328125,3934.5994019185214
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,104.0,0.02675,3887.8504672897197
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,17913.0,3.145734375,5694.377803275269
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,5736.0,0.419375,13677.496274217585
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,5071.0,0.75821875,6688.043523059802
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,1589.0,0.641265625,2477.9123315708684
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,1558.0,0.603984375,2579.536929245893
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,3517.0,0.648828125,5420.541842263697
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,442.0,0.0740625,5967.932489451477
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,6458.0,1.176484375,5489.235673019457
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,770.0,0.149265625,5158.588924945043
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,1614.0,0.32325,4993.039443155452
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,607.0,0.1366875,4440.786465477824
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65.0,9.0,1371.0,0.278,4931.654676258992
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65.0,9.0,1911.0,0.263890625,7241.636568180473
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65.0,9.0,185.0,0.025390625,7286.153846153846
72,"left Primary somatosensory area, mouth",SSp-m-L,37.0,8.0,14485.0,3.105328125,4664.563426771527
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72.0,9.0,5296.0,0.3904375,13564.270850008004
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72.0,9.0,2931.0,0.7490625,3912.891113892366
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72.0,9.0,1581.0,0.4736875,3337.643488586885
76,"left Primary somatosensory area, mouth, layer 5",SSp-m5-L,72.0,9.0,1008.0,0.60871875,1655.9371630987218
77,"left Primary somatosensory area, mouth, layer 6a",SSp-m6a-L,72.0,9.0,3471.0,0.82609375,4201.702288632495
78,"left Primary somatosensory area, mouth, layer 6b",SSp-m6b-L,72.0,9.0,198.0,0.057328125,3453.802125919869
79,"left Primary somatosensory area, upper limb",SSp-ul-L,37.0,8.0,10961.0,1.88471875,5815.721841786739
80,"left Primary somatosensory area, upper limb, layer 1",SSp-ul1-L,79.0,9.0,3580.0,0.230640625,15521.983605446787
81,"left Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-L,79.0,9.0,2863.0,0.4891875,5852.561645585793
82,"left Primary somatosensory area, upper limb, layer 4",SSp-ul4-L,79.0,9.0,1045.0,0.261640625,3994.028068080024
