id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,341960.0,699.556515625,488.82397971018116
0,left root,root-L,-1.0,0.0,1310620.0,250.9855625,5221.893988424135
1,left Basic cell groups and regions,grey-L,0.0,1.0,1185279.0,224.5929375,5277.454461363016
2,left Cerebrum,CH-L,1.0,2.0,898106.0,137.89371875,6513.030529173397
3,left Cerebral cortex,CTX-L,2.0,3.0,814740.0,110.753453125,7356.33948207879
4,left Cortical plate,CTXpl-L,3.0,4.0,791871.0,106.300359375,7449.37274582944
5,left Isocortex,Isocortex-L,4.0,5.0,436614.0,61.627640625,7084.7106196514405
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,2426.0,0.4861875,4989.844453014526
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,915.0,0.12675,7218.934911242603
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,415.0,0.11703125,3546.061415220294
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,853.0,0.185796875,4591.0352367336645
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,241.0,0.05609375,4296.378830083566
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,2.0,0.000515625,3878.7878787878785
12,left Somatomotor areas,MO-L,5.0,6.0,68420.0,12.231046875,5593.961064759635
18,left Primary motor area,MOp-L,12.0,7.0,42882.0,5.676734375,7553.990933387649
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,6924.0,0.664609375,10418.149759021982
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,16160.0,1.8444375,8761.478770627902
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,12876.0,1.636203125,7869.4385820831385
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,6680.0,1.437953125,4645.492181812255
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,242.0,0.09353125,2587.370531239559
24,left Secondary motor area,MOs-L,12.0,7.0,25538.0,6.5543125,3896.3659422708333
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,5828.0,1.1643125,5005.529013903054
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,7312.0,1.901640625,3845.100858633581
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,8513.0,2.26159375,3764.159677218776
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,3810.0,1.189171875,3203.9102842051325
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,75.0,0.03759375,1995.01246882793
30,left Somatosensory areas,SS-L,5.0,6.0,153701.0,16.666171875,9222.333788034332
37,left Primary somatosensory area,SSp-L,30.0,7.0,111046.0,12.1535,9136.956432303452
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,17778.0,1.509703125,11775.825131182663
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,2677.0,0.2028125,13199.383667180276
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,3042.0,0.3201875,9500.683193441342
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,2862.0,0.274109375,10441.087613293052
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,3668.0,0.283515625,12937.558556076054
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,5340.0,0.402328125,13272.748456250729
