id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,307121.0,699.556515625,439.02242798154913
0,left root,root-L,-1.0,0.0,1280845.0,250.9855625,5103.261666694474
1,left Basic cell groups and regions,grey-L,0.0,1.0,1166275.0,224.5929375,5192.839155950752
2,left Cerebrum,CH-L,1.0,2.0,866570.0,137.89371875,6284.332657465588
3,left Cerebral cortex,CTX-L,2.0,3.0,766401.0,110.753453125,6919.883564578475
4,left Cortical plate,CTXpl-L,3.0,4.0,741245.0,106.300359375,6973.118476345697
5,left Isocortex,Isocortex-L,4.0,5.0,382146.0,61.627640625,6200.886422463135
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,2907.0,0.4861875,5979.174701118396
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,875.0,0.12675,6903.3530571992105
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,1088.0,0.11703125,9296.662216288385
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,829.0,0.185796875,4461.8619123707
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,115.0,0.05609375,2050.139275766017
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,0.0,0.000515625,0.0
12,left Somatomotor areas,MO-L,5.0,6.0,55382.0,12.231046875,4527.985262913155
18,left Primary motor area,MOp-L,12.0,7.0,25864.0,5.676734375,4556.140606807941
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,3603.0,0.664609375,5421.229575643588
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,6292.0,1.8444375,3411.338145098438
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,9794.0,1.636203125,5985.80937192624
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,5816.0,1.437953125,4044.638103206598
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,359.0,0.09353125,3838.289341797528
24,left Secondary motor area,MOs-L,12.0,7.0,29518.0,6.5543125,4503.599729185937
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,5374.0,1.1643125,4615.599334371142
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,6718.0,1.901640625,3532.739000041083
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,12757.0,2.26159375,5640.712440065772
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,4477.0,1.189171875,3764.8048142746397
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,192.0,0.03759375,5107.231920199501
30,left Somatosensory areas,SS-L,5.0,6.0,96753.0,16.666171875,5805.352346397784
37,left Primary somatosensory area,SSp-L,30.0,7.0,77394.0,12.1535,6368.042127782121
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,10787.0,1.509703125,7145.113381149026
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,698.0,0.2028125,3441.602465331279
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,1096.0,0.3201875,3422.9943392543432
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,1634.0,0.274109375,5961.12409508066
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,2828.0,0.283515625,9974.75888674566
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,4309.0,0.402328125,10710.163501495204
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,222.0,0.02675,8299.065420560748
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,21656.0,3.145734375,6884.24304738063
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,323.0,0.419375,770.193740685544
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,2724.0,0.75821875,3592.630754646993
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,4495.0,0.641265625,7009.575790063595
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,5786.0,0.603984375,9579.71801836761
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,7456.0,0.648828125,11491.487055990368
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,872.0,0.0740625,11773.839662447257
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,6932.0,1.176484375,5892.130951590411
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,93.0,0.149265625,623.0503506751805
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,1471.0,0.32325,4550.657385924207
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,1457.0,0.1366875,10659.350708733426
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65.0,9.0,1991.0,0.278,7161.870503597122
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65.0,9.0,1728.0,0.263890625,6548.167446266802
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65.0,9.0,192.0,0.025390625,7561.846153846154
72,"left Primary somatosensory area, mouth",SSp-m-L,37.0,8.0,9082.0,3.105328125,2924.650676005454
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72.0,9.0,1536.0,0.3904375,3934.0483432047386
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72.0,9.0,976.0,0.7490625,1302.962035878181
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72.0,9.0,562.0,0.4736875,1186.4362053041298
76,"left Primary somatosensory area, mouth, layer 5",SSp-m5-L,72.0,9.0,1524.0,0.60871875,2503.6192823040196
77,"left Primary somatosensory area, mouth, layer 6a",SSp-m6a-L,72.0,9.0,4205.0,0.82609375,5090.221297522225
78,"left Primary somatosensory area, mouth, layer 6b",SSp-m6b-L,72.0,9.0,279.0,0.057328125,4866.721177432543
79,"left Primary somatosensory area, upper limb",SSp-ul-L,37.0,8.0,18111.0,1.88471875,9609.391321649451
80,"left Primary somatosensory area, upper limb, layer 1",SSp-ul1-L,79.0,9.0,578.0,0.230640625,2506.063274845878
81,"left Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-L,79.0,9.0,3365.0,0.4891875,6878.753034368213
82,"left Primary somatosensory area, upper limb, layer 4",SSp-ul4-L,79.0,9.0,4201.0,0.261640625,16056.375037324573
83,"left Primary somatosensory area, upper limb, layer 5",SSp-ul5-L,79.0,9.0,5427.0,0.395625,13717.535545023697
84,"left Primary somatosensory area, upper limb, layer 6a",SSp-ul6a-L,79.0,9.0,4234.0,0.470546875,8998.040843433506
